==============================================================================================================================================================================================
CONSOLIDATED BACKTEST SUMMARY REPORT
Generated: 2025-06-25 09:41:48
Total Instruments Run: 1444
Total Orders:        0 | Total Positions:          0 | Total Trades:        0
Total Investment: 0.00 INR | Total PnL: 0.00 INR | Overall PnL %: 0.00%
Total Realized PnL: 0.00 INR | Total Unrealized PnL: 0.00 INR | Overall Sharpe Ratio: 0.00
Total Starting Balance: 0.00 INR | Total Ending Balance: 0.00 INR
==============================================================================================================================================================================================

INSTRUMENT-WISE SUMMARY
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Instrument ID                            |   Orders |  Positions |   Trades | Investment |        PnL |   PnL % |   Realized PnL |  Unrealized PnL |   Sharpe |  Start Bal |    End Bal
NIFTY.OPT.03Jul2025.23550.PUT.NSE        |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23600.CALL.NSE       |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23600.PUT.NSE        |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23650.CALL.NSE       |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23650.PUT.NSE        |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23700.CALL.NSE       |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23700.PUT.NSE        |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23750.CALL.NSE       |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23750.PUT.NSE        |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
NIFTY.OPT.03Jul2025.23800.CALL.NSE       |        0 |          0 |        0 |       0.00 |       0.00 |     N/A% |           0.00 |            0.00 |     0.00 |       0.00 |       0.00
