timestamp,symbol,option_type,strike,expiry,bid,ask,last,volume,open_interest,impliedVolatility,pchangeinOpenInterest,totalBuyQuantity,totalSellQuantity,underlyingValue,underlying,identifier,pChange
2025-06-19 03:00:02,NIFTY.NSE.OPT.28Dec2028.17000.PUT,PUT,17000,28-Dec-2028,6.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.28Jun2029.17000.PUT,PUT,17000,28-Jun-2029,5.05,0.0,0.0,0,0,0.0,0.0,4425,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.27Dec2029.17000.PUT,PUT,17000,27-Dec-2029,11.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.26Jun2025.18000.CALL,CALL,18000,26-Jun-2025,6761.6,6810.1,6815.85,80,1008,0.0,-6.317745432022298,450,375,,,,-0.6334465616024932
2025-06-19 03:00:02,NIFTY.NSE.OPT.26Jun2025.18000.PUT,PUT,18000,26-Jun-2025,1.05,1.15,1.15,2275,6961,74.47,-1.0237452011943693,85350,37725,,,,-11.538461538461549
2025-06-19 03:00:02,NIFTY.NSE.OPT.25Sep2025.18000.PUT,PUT,18000,25-Sep-2025,12.0,16.0,13.4,1,137,29.6,-0.7246376811594203,55500,1500,,,,-0.740740740740738
2025-06-19 03:00:02,NIFTY.NSE.OPT.24Dec2025.18000.CALL,CALL,18000,24-Dec-2025,6278.45,7275.0,7200.0,58,210,0.0,36.36363636363637,300,300,,,,-0.7580978635423846
2025-06-19 03:00:02,NIFTY.NSE.OPT.24Dec2025.18000.PUT,PUT,18000,24-Dec-2025,35.05,35.5,35.95,108,1293,26.29,0.07739938080495357,6300,4200,,,,0.41899441340783716
2025-06-19 03:00:02,NIFTY.NSE.OPT.26Mar2026.18000.PUT,PUT,18000,26-Mar-2026,27.35,0.0,0.0,0,0,0.0,0.0,4500,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.25Jun2026.18000.PUT,PUT,18000,25-Jun-2026,36.5,0.0,0.0,0,0,0.0,0.0,4050,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.31Dec2026.18000.PUT,PUT,18000,31-Dec-2026,60.7,0.0,76.1,0,69,0.0,0.0,3975,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.24Jun2027.18000.PUT,PUT,18000,24-Jun-2027,12.0,0.0,48.55,0,0,0.0,0.0,3975,0,,,,0.0
