instrument_id,pnl,return_pct,max_drawdown_pct,sharpe,num_quotes
NIFTY20230629.FUT.NSE,241.20000000000073,1.2988691437803013,1.0225327594098146,2.7509044631421564,19
NIFTY20230727.FUT.NSE,996.5499999999993,5.343331358392733,1.6189121791469252,4.54193919078383,40
NIFTY20240229.FUT.NSE,1358.800000000003,6.596564815084527,4.1380084403340245,2.1734562886108018,63
NIFTY20240125.FUT.NSE,1982.0499999999956,10.246647435300904,4.242702172744233,3.516090327471037,63
NIFTY20231130.FUT.NSE,424.3500000000022,2.153508872091181,7.27931150761652,1.0264353904540027,61
NIFTY20230628.FUT.NSE,0.0,0.0,0.0,0.0,1
NIFTY20230831.FUT.NSE,515.9000000000015,2.7535079338816493,4.07727513945952,1.5458320857754113,64
NIFTY20240627.FUT.NSE,1163.0499999999993,5.084371584699454,6.407024978746491,1.676393305144731,36
NIFTY20240530.FUT.NSE,-222.75,-0.9810506380682926,3.7839958158995843,-0.39596387410421363,60
NIFTY20230928.FUT.NSE,84.50000000000364,0.43470544204915473,4.006315325073182,0.2760866960430099,63
NIFTY20231026.FUT.NSE,-1107.2999999999993,-5.546483670607094,7.3487828186917055,-2.7539838836643526,61
NIFTY20231228.FUT.NSE,1838.9000000000015,9.224109391145575,4.961320627836197,3.614147242395158,61
NIFTY20240425.FUT.NSE,457.84999999999854,2.0693083850264804,3.3192474268380385,0.9388424189077291,60
NIFTY20240328.FUT.NSE,186.59999999999854,0.8422211891296438,4.017456526106669,0.34713239716735467,63
NIFTY20241031.FUT.NSE,-942.7000000000007,-3.748906386701667,8.170004725727512,-1.1759237851396085,68
NIFTY20241128.FUT.NSE,-1720.2999999999956,-6.713667149940372,11.755668643928473,-2.2230502169287667,62
NIFTY20240725.FUT.NSE,1563.5499999999993,6.845156008528264,6.282587964939329,2.209028168956588,38
NIFTY20250130.FUT.NSE,-1416.5,-5.7460773337227655,8.638684832464914,-1.8255097083380998,62
NIFTY20240829.FUT.NSE,2214.1500000000015,9.645295840911317,6.281798490983475,2.101132764564018,62
NIFTY20240926.FUT.NSE,1865.949999999997,7.659720326511499,3.8482797563186946,2.80301807597965,63
NIFTY20250327.FUT.NSE,-681.8499999999985,-2.8088047801379523,9.624587139523424,-0.924466859237881,64
NIFTY20241226.FUT.NSE,-2815.399999999998,-10.598514536536142,11.527399761332017,-3.7303191704412124,61
NIFTY20250227.FUT.NSE,-2048.6500000000015,-8.329064415930787,10.294486240466592,-3.1895170619793802,64
NIFTY20250828.FUT.NSE,176.20000000000073,0.7012656212687984,1.8748698279961118,1.1083542344219899,18
NIFTY20250424.FUT.NSE,346.2999999999993,1.4489903512222124,7.48242216718473,0.5232814513128496,55
NIFTY20250626.FUT.NSE,1196.7999999999993,5.012795865113562,5.924422720095181,1.35455189081356,58
NIFTY20250731.FUT.NSE,812.6999999999971,3.335330619213339,2.0272644366099875,1.488331769278008,42
NIFTY20250529.FUT.NSE,2258.0499999999993,10.010795281996266,6.724865154506787,2.5110040048495486,59
