timestamp,symbol,option_type,strike,expiry,bid,ask,last,volume,open_interest,impliedVolatility,pchangeinOpenInterest,totalBuyQuantity,totalSellQuantity,underlyingValue,underlying,identifier,pChange
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.25Sep2025.45000.PUT,PUT,45000,25-Sep-2025,1.05,0.0,0.0,0,0,0.0,0.0,700,0,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.24Dec2025.45000.PUT,PUT,45000,24-Dec-2025,36.0,0.0,0.0,0,0,0.0,0.0,840,0,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Mar2026.45000.PUT,PUT,45000,26-Mar-2026,2.05,0.0,0.0,0,0,0.0,0.0,595,0,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45100.CALL,CALL,45100,26-Jun-2025,10273.8,10934.0,8941.95,0,2,0.0,0.0,2820,2760,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45100.PUT,PUT,45100,26-Jun-2025,3.25,4.8,4.0,132,195,53.52,12.068965517241379,19680,11430,,,,-31.623931623931618
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45200.CALL,CALL,45200,26-Jun-2025,10180.4,10833.55,8848.25,0,2,0.0,0.0,2820,2820,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45200.PUT,PUT,45200,26-Jun-2025,2.6,7.4,3.6,51,64,52.46,-33.333333333333336,14880,210,,,,-20.879120879120876
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45300.CALL,CALL,45300,26-Jun-2025,10055.5,10737.8,8767.5,0,3,0.0,0.0,2820,2760,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45300.PUT,PUT,45300,26-Jun-2025,2.9,5.5,3.2,81,363,51.36,-0.547945205479452,15720,510,,,,-37.2549019607843
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45400.CALL,CALL,45400,26-Jun-2025,9971.55,10634.3,8662.8,0,3,0.0,0.0,2820,2820,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45400.PUT,PUT,45400,26-Jun-2025,3.2,5.0,3.8,12,129,51.75,-3.7313432835820897,15450,870,,,,-2.5641025641025665
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45500.CALL,CALL,45500,26-Jun-2025,9893.55,10623.4,5305.3,0,1,0.0,0.0,2820,1260,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45500.PUT,PUT,45500,26-Jun-2025,3.1,3.75,3.1,1033,923,50.23,6.091954022988506,32580,780,,,,-27.058823529411764
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45600.CALL,CALL,45600,26-Jun-2025,9795.45,10432.95,8502.75,0,4,0.0,0.0,2820,2760,,,,0.0
2025-06-18 15:18:47,BANKNIFTY.NSE.OPT.26Jun2025.45600.PUT,PUT,45600,26-Jun-2025,2.8,5.1,4.5,0,69,0.0,0.0,16740,2190,,,,0.0
