Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,IV,OI,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,MDD_pct,Sharpe,Cum_PnL,Win/Loss,is_win
NIFTY20230628.FUT.NSE,2025-06-29,Long,TP,112.0,28.0,1120,2025-06-29,151.0,150.3,109.76,39.0,34.82,0.0,183.13,39.0,Win,True
NIFTY20230629.FUT.NSE,2025-06-29,Long,EXP_FORCED,18570.0,4642.5,185700,2025-06-29,18811.2,18936.95,18198.6,241.2,1.3,1.02,2.75,280.2,Win,True
