Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Cum_PnL,Win/Loss,is_win
NIFTY20230727.FUT.NSE,17.0,Long,TP,18844.09,19.0,18985.07,18844.09,18773.6,140.98,0.75,140.98,Win,True
NIFTY20230727.FUT.NSE,38.0,Long,SL,19740.38,39.0,19666.54,19740.38,19666.54,-73.84,-0.37,67.14,Loss,False
