Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price_Change,Price_Change_Pct,High_Low_Range,High_Low_Pct,Previous_Close,Gap,Gap_Pct,Daily_Return_Pct,MA_5,MA_20,MA_50,Volume_MA_20,Volume_Ratio,Volatility_20,Body_Size,Upper_Shadow,Lower_Shadow,ATM_Strike,ITM_Call_Strike_50,ITM_Call_Strike_100,OTM_Call_Strike_50,OTM_Call_Strike_100,OTM_Call_Strike_200,ITM_Put_Strike_50,ITM_Put_Strike_100,OTM_Put_Strike_50,OTM_Put_Strike_100,OTM_Put_Strike_200,Moneyness_ITM_Call,Moneyness_OTM_Call,Moneyness_ITM_Put,Moneyness_OTM_Put,Vol_Factor,Volume_Factor,Price_Factor,OI_ATM_Calls,OI_ATM_Puts,OI_ITM_Calls,OI_ITM_Puts,OI_OTM_Calls,OI_OTM_Puts,OI_Far_OTM_Calls,OI_Far_OTM_Puts,Total_Call_OI,Total_Put_OI,Total_OI,PCR_OI,PCR_Volume,OI_Change_Total,OI_Change_Calls,OI_Change_Puts,OI_Change_Pct,Bullish_Signal,Bearish_Signal,Support_Level_1,Support_Level_2,Resistance_Level_1,Resistance_Level_2,Vol_Adjusted_OI,IV_Historical_Premium,IV_GARCH_Style,IV_Range_Based,IV_VIX_Style,IV_Composite,IV_Call_Skew,IV_Put_Skew,IV_Weekly,IV_Monthly,IV_Quarterly,IV_ATM,IV_OTM_Calls,IV_OTM_Puts,IV_Risk_Premium,IV_Black_Scholes_Call,IV_Black_Scholes_Put,IV_Black_Scholes_Avg,HV_Annualized
2024-06-25 00:00:00+05:30,23577.099609375,23754.150390625,23562.05078125,23721.30078125,298100,0.0,0.0,144.201171875,0.6116153991123703,192.099609375,0.8147720141904781,,,,,,,,,,,144.201171875,32.849609375,15.048828125,23700.0,23650.0,23600.0,23750.0,23800.0,23900.0,23750.0,23800.0,23650.0,23600.0,23500.0,0.9948864194940829,1.003317660337253,1.003317660337253,0.9948864194940829,1.0,1.0,0.5,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,23600.0,23500.0,23800.0,23900.0,,,,,,,,,,,,,,,,,,,
2024-06-26 00:00:00+05:30,23723.099609375,23889.900390625,23670.44921875,23868.80078125,287800,0.0,0.0,145.701171875,0.6141742616863657,219.451171875,0.9250526933178508,23721.30078125,1.798828125,0.0075831765786716,0.6218040121837909,,,,,,,145.701171875,21.099609375,52.650390625,23850.0,23800.0,23750.0,23900.0,23950.0,24050.0,23900.0,23950.0,23800.0,23750.0,23650.0,0.9950227586907792,1.003401897711333,1.003401897711333,0.9950227586907792,1.0,1.0,0.3109020060918954,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,23750.0,23650.0,23950.0,24050.0,,,,,,,,,,,,,,,,,,,
2024-06-27 00:00:00+05:30,23881.55078125,24087.44921875,23805.400390625,24044.5,515200,0.0,0.0,162.94921875,0.6823226022572013,282.048828125,1.1810322985659858,23868.80078125,12.75,0.0534170112560313,0.7361040898544724,,,,,,,162.94921875,42.94921875,76.150390625,24050.0,24000.0,23950.0,24100.0,24150.0,24250.0,24100.0,24150.0,24000.0,23950.0,23850.0,0.996069787269438,1.00438769781031,1.00438769781031,0.996069787269438,1.0,1.0,0.3680520449272362,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,23950.0,23850.0,24150.0,24250.0,,,,,,,,,,,,,,,,,,,
2024-06-28 00:00:00+05:30,24085.900390625,24174.0,23985.80078125,24010.599609375,354800,0.0,0.0,-75.30078125,-0.3126342799263151,188.19921875,0.7813667568900731,24044.5,41.400390625,0.1721823727879556,-0.1409902082596836,,,,,,,75.30078125,88.099609375,24.798828125,24000.0,23950.0,23900.0,24050.0,24100.0,24200.0,24050.0,24100.0,23950.0,23900.0,23800.0,0.995393717309258,1.0037233718474108,1.0037233718474108,0.995393717309258,1.0,1.0,0.0704951041298418,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,23900.0,23800.0,24100.0,24200.0,,,,,,,,,,,,,,,,,,,
2024-07-01 00:00:00+05:30,23992.94921875,24164.0,23992.69921875,24141.94921875,0,0.0,0.0,149.0,0.6210157769331648,171.30078125,0.7139630050820595,24010.599609375,-17.650390625,-0.0735108281848503,0.5470484349075377,23957.430078125,,,,,,149.0,22.05078125,0.25,24150.0,24100.0,24050.0,24200.0,24250.0,24350.0,24200.0,24250.0,24100.0,24050.0,23950.0,0.9961913092469524,1.004475644458985,1.004475644458985,0.9961913092469524,1.0,1.0,0.2735242174537688,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,24050.0,23950.0,24250.0,24350.0,,,,,,,,,,,,,,,,,,,
2024-07-02 00:00:00+05:30,24228.75,24236.349609375,24056.400390625,24123.849609375,0,0.0,0.0,-104.900390625,-0.4329583268843832,179.94921875,0.7427094618996027,24141.94921875,86.80078125,0.3595433842706686,-0.074971615634678,24037.93984375,,,,,,104.900390625,7.599609375,67.44921875,24100.0,24050.0,24000.0,24150.0,24200.0,24300.0,24150.0,24200.0,24050.0,24000.0,23900.0,0.994866092626988,1.0031566433988797,1.0031566433988797,0.994866092626988,1.0,1.0,0.037485807817339,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,24000.0,23900.0,24200.0,24300.0,,,,,,,,,,,,,,,,,,,
2024-07-03 00:00:00+05:30,24291.75,24309.150390625,24207.099609375,24286.5,0,0.0,0.0,-5.25,-0.0216122757726388,102.05078125,0.4201046908929987,24123.849609375,167.900390625,0.6959933565484948,0.6742306607722792,24121.4796875,,,,,,5.25,17.400390625,79.400390625,24300.0,24250.0,24200.0,24350.0,24400.0,24500.0,24350.0,24400.0,24250.0,24200.0,24100.0,0.9964383505239536,1.0046733782142343,1.0046733782142343,0.9964383505239536,1.0,1.0,0.3371153303861396,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,24200.0,24100.0,24400.0,24500.0,,,,,,,,,,,,,,,,,,,
2024-07-04 00:00:00+05:30,24369.94921875,24401.0,24281.0,24302.150390625,251200,0.0,0.0,-67.798828125,-0.2782066860969749,120.0,0.4924097252844219,24286.5,83.44921875,0.3436033135692669,0.0644407000802926,24173.009765625,,,,,,67.798828125,31.05078125,21.150390625,24300.0,24250.0,24200.0,24350.0,24400.0,24500.0,24350.0,24400.0,24250.0,24200.0,24100.0,0.9957966521899064,1.00402637658817,1.00402637658817,0.9957966521899064,1.0,1.0,0.0322203500401463,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,24200.0,24100.0,24400.0,24500.0,,,,,,,,,,,,,,,,,,,
2024-07-05 00:00:00+05:30,24213.349609375,24363.0,24168.849609375,24323.849609375,298400,0.0,0.0,110.5,0.45635982539655,194.150390625,0.8018320214144525,24302.150390625,-88.80078125,-0.3654029780190008,0.0892892949850621,24235.659765625,,,,,,110.5,39.150390625,44.5,24300.0,24250.0,24200.0,24350.0,24400.0,24500.0,24350.0,24400.0,24250.0,24200.0,24100.0,0.9949083055781078,1.003130688268836,1.003130688268836,0.9949083055781078,1.0,1.0,0.044644647492531,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,24200.0,24100.0,24400.0,24500.0,,,,,,,,,,,,,,,,,,,
2024-07-08 00:00:00+05:30,24329.44921875,24344.599609375,24240.55078125,24320.55078125,266300,0.0,0.0,-8.8984375,-0.036574759337923,104.048828125,0.4276661883690017,24323.849609375,5.599609375,0.0230210655999195,-0.0135621136373442,24271.380078125,,,,,,8.8984375,15.150390625,80.0,24300.0,24250.0,24200.0,24350.0,24400.0,24500.0,24350.0,24400.0,24250.0,24200.0,24100.0,0.9950432544750204,1.0032667524458885,1.0032667524458885,0.9950432544750204,1.0,1.0,0.0067810568186721,100000,90000,70000,72000,100000,108000,30000,43200,300000,313200,613200,1.044,1.5,0.0,0.0,0.0,0.0,0,0,24200.0,24100.0,24400.0,24500.0,,,,,,,,,,,,,,,,,,,
