Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,IV,OI,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Markdown_pct,Sharpe,Cum_PnL,is_win
NIFTY20240125.FUT.NSE,2025-06-29,Long,TP/SL,19343.4,4835.85,193434,2025-06-29,21325.45,386.87,18956.53,1982.05,10.25,10.25,3.52,1982.05,True
NIFTY20230928.FUT.NSE,2025-06-29,Long,TP/SL,19438.45,4859.61,194384,2025-06-29,19522.95,388.77,19049.68,84.5,0.43,0.43,0.28,84.5,True
NIFTY20230629.FUT.NSE,2025-06-29,Long,TP/SL,18570.0,4642.5,185700,2025-06-29,18811.2,371.4,18198.6,241.2,1.3,1.3,2.75,241.2,True
NIFTY20230727.FUT.NSE,2025-06-29,Long,TP/SL,18650.35,4662.59,186503,2025-06-29,19646.9,373.01,18277.34,996.55,5.34,5.34,4.54,996.55,True
NIFTY20240425.FUT.NSE,2025-06-29,Long,TP/SL,22125.75,5531.44,221257,2025-06-29,22583.6,442.51,21683.24,457.85,2.07,2.07,0.94,457.85,True
NIFTY20240627.FUT.NSE,2025-06-29,Long,TP/SL,22875.0,5718.75,228750,2025-06-29,24038.05,457.5,22417.5,1163.05,5.08,5.08,1.68,1163.05,True
NIFTY20231026.FUT.NSE,2025-06-29,Long,TP/SL,19964.0,4991.0,199640,2025-06-29,18856.7,399.28,19564.72,-1107.3,-5.55,5.55,-2.75,-1107.3,False
NIFTY20240328.FUT.NSE,2025-06-29,Long,TP/SL,22155.7,5538.93,221557,2025-06-29,22342.3,443.11,21712.59,186.6,0.84,0.84,0.35,186.6,True
NIFTY20230628.FUT.NSE,2025-06-29,Long,TP/SL,18966.3,4741.57,189663,2025-06-29,18966.3,379.33,18586.97,0.0,0.0,0.0,0.0,0.0,False
NIFTY20240530.FUT.NSE,2025-06-29,Long,TP/SL,22705.25,5676.31,227052,2025-06-29,22482.5,454.11,22251.15,-222.75,-0.98,0.98,-0.4,-222.75,False
NIFTY20230831.FUT.NSE,2025-06-29,Long,TP/SL,18736.1,4684.02,187361,2025-06-29,19252.0,374.72,18361.38,515.9,2.75,2.75,1.55,515.9,True
NIFTY20231130.FUT.NSE,2025-06-29,Long,TP/SL,19705.05,4926.26,197050,2025-06-29,20129.4,394.1,19310.95,424.35,2.15,2.15,1.03,424.35,True
NIFTY20231228.FUT.NSE,2025-06-29,Long,TP/SL,19935.8,4983.95,199358,2025-06-29,21774.7,398.72,19537.08,1838.9,9.22,9.22,3.61,1838.9,True
NIFTY20240229.FUT.NSE,2025-06-29,Long,TP/SL,20598.6,5149.65,205986,2025-06-29,21957.4,411.97,20186.63,1358.8,6.6,6.6,2.17,1358.8,True
NIFTY20241226.FUT.NSE,2025-06-29,Long,TP/SL,26564.1,6641.02,265641,2025-06-29,23748.7,531.28,26032.82,-2815.4,-10.6,10.6,-3.73,-2815.4,False
NIFTY20240829.FUT.NSE,2025-06-29,Long,TP/SL,22955.75,5738.94,229557,2025-06-29,25169.9,459.12,22496.63,2214.15,9.65,9.65,2.1,2214.15,True
NIFTY20240926.FUT.NSE,2025-06-29,Long,TP/SL,24360.55,6090.14,243605,2025-06-29,26226.5,487.21,23873.34,1865.95,7.66,7.66,2.8,1865.95,True
NIFTY20240725.FUT.NSE,2025-06-29,Long,TP/SL,22841.7,5710.43,228417,2025-06-29,24405.25,456.83,22384.87,1563.55,6.85,6.85,2.21,1563.55,True
NIFTY20241031.FUT.NSE,2025-06-29,Long,TP/SL,25146.0,6286.5,251460,2025-06-29,24203.3,502.92,24643.08,-942.7,-3.75,3.75,-1.18,-942.7,False
NIFTY20241128.FUT.NSE,2025-06-29,Long,TP/SL,25623.85,6405.96,256238,2025-06-29,23903.55,512.48,25111.37,-1720.3,-6.71,6.71,-2.22,-1720.3,False
NIFTY20250529.FUT.NSE,2025-06-29,Long,TP/SL,22556.15,5639.04,225561,2025-06-29,24814.2,451.12,22105.03,2258.05,10.01,10.01,2.51,2258.05,True
NIFTY20250227.FUT.NSE,2025-06-29,Long,TP/SL,24596.4,6149.1,245964,2025-06-29,22547.75,491.93,24104.47,-2048.65,-8.33,8.33,-3.19,-2048.65,False
NIFTY20250327.FUT.NSE,2025-06-29,Long,TP/SL,24275.45,6068.86,242754,2025-06-29,23593.6,485.51,23789.94,-681.85,-2.81,2.81,-0.92,-681.85,False
NIFTY20250626.FUT.NSE,2025-06-29,Long,TP/SL,23874.9,5968.73,238749,2025-06-29,25071.7,477.5,23397.4,1196.8,5.01,5.01,1.35,1196.8,True
NIFTY20250130.FUT.NSE,2025-06-29,Long,TP/SL,24651.6,6162.9,246516,2025-06-29,23235.1,493.03,24158.57,-1416.5,-5.75,5.75,-1.83,-1416.5,False
NIFTY20250424.FUT.NSE,2025-06-29,Long,TP/SL,23899.4,5974.85,238994,2025-06-29,24245.7,477.99,23421.41,346.3,1.45,1.45,0.52,346.3,True
NIFTY20250731.FUT.NSE,2025-06-29,Long,TP/SL,24366.4,6091.6,243664,2025-06-29,25179.1,487.33,23879.07,812.7,3.34,3.34,1.49,812.7,True
NIFTY20250828.FUT.NSE,2025-06-29,Long,TP/SL,25126.0,6281.5,251260,2025-06-29,25302.2,502.52,24623.48,176.2,0.7,0.7,1.11,176.2,True
